School.Name,State,School.Sector,School.Type,Geolocation,ICSEA,Full.Time.Teaching.Staff,Full.Time.Non.Teaching.Staff,Total.Enrolments,Girls.Enrolments,Boys.Enrolments,Indigenous.Enrolments.Percentage,LBOTE.Percentage
Eltham Public School,NSW,Government,Primary,Inner Regional,1073,3.8,1.4,49,24,25,0,8
Empire Vale Public School,NSW,Government,Primary,Inner Regional,915,3.1,0.7,25,7,18,16,8
Eungai Public School,NSW,Government,Primary,Outer Regional,931,3.4,1.4,51,22,29,12,6
Eureka Public School,NSW,Government,Primary,Inner Regional,1079,2.5,0.9,33,14,19,0,30
Evans River Community School,NSW,Government,Combined,Inner Regional,943,47.1,12.7,498,259,239,17,4
Fingal Head Public School,NSW,Government,Primary,Major Cities,900,2.7,0.9,44,22,22,45,12
Lord Howe Island Central School,NSW,Government,Combined,Very Remote,1049,3.5,0.9,42,21,21,5,28
Forster Public School,NSW,Government,Primary,Inner Regional,934,44.2,10.5,704,366,338,20,4
Frederickton Public School,NSW,Government,Primary,Inner Regional,891,10.4,1.9,147,83,64,24,7
Gladstone Public School,NSW,Government,Primary,Outer Regional,893,2.5,0.9,31,12,19,23,6
Glenreagh Public School,NSW,Government,Primary,Outer Regional,878,4.2,1.5,61,25,36,26,2
Goolmangar Public School,NSW,Government,Primary,Inner Regional,1053,1.3,0.7,16,6,10,0,19
Goonellabah Public School,NSW,Government,Primary,Inner Regional,835,22.5,3.6,289,132,157,47,7
Goonengerry Public School,NSW,Government,Primary,Inner Regional,1005,2.5,0.9,40,23,17,5,24
Grafton Public School,NSW,Government,Primary,Inner Regional,932,40.1,10.5,617,305,312,19,5
South Grafton Public School,NSW,Government,Primary,Inner Regional,912,39.8,8,630,325,305,20,3
Green Hill Public School,NSW,Government,Primary,Inner Regional,690,2.7,1.9,29,12,17,97,3
Gulmarrad Public School,NSW,Government,Primary,Inner Regional,985,10.5,2,179,76,103,8,8
Hannam Vale Public School,NSW,Government,Primary,Inner Regional,1066,1.3,1,16,11,5,0,0
Harrington Public School,NSW,Government,Primary,Inner Regional,928,7.1,1.7,109,50,59,13,3
Harwood Island Public School,NSW,Government,Primary,Inner Regional,932,3.8,1.4,58,28,30,7,2
Hernani Public School,NSW,Government,Primary,Outer Regional,939,1.4,0.8,6,3,3,0,0
Herons Creek Public School,NSW,Government,Primary,Inner Regional,881,2.6,0.9,24,11,13,25,4
Huntingdon Public School,NSW,Government,Primary,Inner Regional,956,2.5,0.9,44,18,26,20,7
Iluka Public School,NSW,Government,Primary,Inner Regional,939,7.8,1.7,104,52,52,13,4
Fernleigh Public School,NSW,Government,Primary,Inner Regional,1070,2.5,0.9,37,15,22,3,9
Jiggi Public School,NSW,Government,Primary,Inner Regional,951,2.7,0.9,29,14,15,17,14
Johns River Public School,NSW,Government,Primary,Inner Regional,914,1.4,1,11,5,6,9,0
Karangi Public School,NSW,Government,Primary,Inner Regional,990,6,1.5,86,37,49,17,7
Kempsey East Public School,NSW,Government,Primary,Inner Regional,905,11.7,2.5,209,111,98,25,5
Kempsey West Public School,NSW,Government,Primary,Inner Regional,805,28.6,10.9,396,171,225,52,4
Kendall Public School,NSW,Government,Primary,Inner Regional,953,13.9,2.6,229,107,122,9,1
Kinchela Public School,NSW,Government,Primary,Outer Regional,895,1.7,1.7,27,12,15,22,0
Kororo Public School,NSW,Government,Primary,Inner Regional,1015,34.6,4.1,646,333,313,8,11
Krambach Public School,NSW,Government,Primary,Inner Regional,947,2.6,0.9,34,14,20,9,14
Kyogle Public School,NSW,Government,Primary,Inner Regional,921,18.2,3,307,159,148,18,3
Lansdowne Public School,NSW,Government,Primary,Inner Regional,899,2.8,1,38,17,21,21,0
Upper Lansdowne Public School,NSW,Government,Primary,Inner Regional,959,1.4,1.2,13,3,10,8,8
Larnook Public School,NSW,Government,Primary,Inner Regional,951,2.6,0.9,29,12,17,10,8
Laurieton Public School,NSW,Government,Primary,Inner Regional,967,11,2.5,204,118,86,5,2
Lawrence Public School,NSW,Government,Primary,Outer Regional,924,3.9,1.5,59,30,29,19,14
Lismore South Public School,NSW,Government,Primary,Inner Regional,914,16.9,3.7,245,134,111,18,5
Long Flat Public School,NSW,Government,Primary,Inner Regional,921,3.6,1.4,54,29,25,22,0
Lowanna Public School,NSW,Government,Primary,Outer Regional,772,1.7,0.7,22,11,11,41,21
Macksville Public School,NSW,Government,Primary,Outer Regional,930,19.9,5.2,325,165,160,17,2
Manifold Public School,NSW,Government,Primary,Inner Regional,943,2.5,0.9,26,9,17,15,0
Medlow Public School,NSW,Government,Primary,Outer Regional,961,1.7,0.9,17,10,7,0,0
Mitchells Island Public School,NSW,Government,Primary,Inner Regional,1011,2.7,1.1,30,13,17,17,11
Modanville Public School,NSW,Government,Primary,Inner Regional,1026,5,1.5,74,36,38,1,6
Moorland Public School,NSW,Government,Primary,Inner Regional,914,2.1,0.8,22,7,15,18,0
Mount George Public School,NSW,Government,Primary,Inner Regional,920,2,0.7,22,9,13,36,0
Mullumbimby Public School,NSW,Government,Primary,Inner Regional,1031,12.6,2.5,219,98,121,5,8
Mummulgum Public School,NSW,Government,Primary,Inner Regional,889,2,1.1,16,7,9,25,6
Murwillumbah Public School,NSW,Government,Primary,Major Cities,964,17,2.6,286,155,131,12,8
Nabiac Public School,NSW,Government,Primary,Inner Regional,916,13,2.5,217,98,119,17,1
Nambucca Heads Public School,NSW,Government,Primary,Outer Regional,935,16.6,2.9,307,151,156,21,7
Nana Glen Public School,NSW,Government,Primary,Outer Regional,963,8.8,1.7,143,72,71,10,6
Newrybar Public School,NSW,Government,Primary,Inner Regional,1064,2.5,0.9,39,24,15,0,13
Nimbin Central School,NSW,Government,Combined,Inner Regional,963,24.3,6.5,244,120,124,18,17
Nymboida Public School,NSW,Government,Primary,Outer Regional,947,1.3,1.2,17,7,10,18,6
Old Bar Public School,NSW,Government,Primary,Inner Regional,968,29.7,5,516,249,267,13,3
Old Bonalbo Public School,NSW,Government,Primary,Outer Regional,771,1.4,0.9,11,5,6,55,0
Orara Upper Public School,NSW,Government,Primary,Inner Regional,980,2.5,0.9,31,17,14,0,6
Palmers Island Public School,NSW,Government,Primary,Inner Regional,934,3.9,2,48,21,27,21,9
Wooli Public School,NSW,Government,Primary,Outer Regional,970,3.9,1.4,59,26,33,3,2
The Pocket Public School,NSW,Government,Primary,Inner Regional,1021,4.8,1.5,79,41,38,8,14
Port Macquarie Public School,NSW,Government,Primary,Inner Regional,932,34.5,11.3,434,197,237,16,8
Raleigh Public School,NSW,Government,Primary,Outer Regional,1039,2.6,0.7,24,10,14,4,0
Rappville Public School,NSW,Government,Primary,Outer Regional,965,1.4,1.1,10,3,7,20,10
Repton Public School,NSW,Government,Primary,Outer Regional,1014,3.8,1.4,59,25,34,10,2
The Risk Public School,NSW,Government,Primary,Inner Regional,974,2.6,0.9,31,12,19,13,0
Whian Whian Public School,NSW,Government,Primary,Inner Regional,953,1.3,0.9,9,2,7,0,11
Rollands Plains Upper Public School,NSW,Government,Primary,Outer Regional,966,2.6,0.9,37,11,26,5,0
Rosebank Public School,NSW,Government,Primary,Inner Regional,1056,2.5,0.9,36,14,22,11,17
Rous Public School,NSW,Government,Primary,Inner Regional,1010,5,1.5,85,34,51,9,5
Rukenvale Public School,NSW,Government,Primary,Outer Regional,967,1.3,1,4,0,4,0,0
Sawtell Public School,NSW,Government,Primary,Inner Regional,984,19.1,3,355,183,172,13,9
Smithtown Public School,NSW,Government,Primary,Outer Regional,874,4,1.4,67,33,34,34,0
South West Rocks Public School,NSW,Government,Primary,Outer Regional,964,17.5,3,334,170,164,20,6
Stokers Siding Public School,NSW,Government,Primary,Inner Regional,910,1.4,1,13,5,8,38,14
Stratford Public School,NSW,Government,Primary,Outer Regional,902,1.4,1.1,9,2,7,22,0
Stratheden Public School,NSW,Government,Primary,Inner Regional,917,1.9,0.7,24,12,12,13,0
Stroud Public School,NSW,Government,Primary,Inner Regional,980,3.9,1.5,69,38,31,7,1
Stroud Road Public School,NSW,Government,Primary,Inner Regional,911,1.4,0.9,13,6,7,15,0
Tabulam Public School,NSW,Government,Primary,Outer Regional,657,4.2,1.9,40,19,21,83,63
Taree Public School,NSW,Government,Primary,Inner Regional,738,8.4,3.4,72,32,40,58,1
Tea Gardens Public School,NSW,Government,Primary,Inner Regional,922,11.6,2.1,186,84,102,19,9
Telegraph Point Public School,NSW,Government,Primary,Inner Regional,981,6.1,1.8,125,60,65,7,2
Terranora Public School,NSW,Government,Primary,Major Cities,1032,22.2,3.4,418,198,220,5,7
Tinonee Public School,NSW,Government,Primary,Inner Regional,972,10.5,2,163,73,90,15,5
Main Arm Upper Public School,NSW,Government,Primary,Inner Regional,1027,4.8,1.5,90,40,50,6,37
Tregeagle Public School,NSW,Government,Primary,Inner Regional,1011,6.2,1.7,123,73,50,7,11
Tucabia Public School,NSW,Government,Primary,Outer Regional,879,2.7,0.9,40,17,23,13,12
Tumbulgum Public School,NSW,Government,Primary,Major Cities,892,2.5,0.9,32,15,17,22,0
Tuntable Creek Public School,NSW,Government,Primary,Inner Regional,1080,1.3,1,8,7,1,0,25
Tweed Heads Public School,NSW,Government,Primary,Major Cities,950,16.3,2.6,286,137,149,19,17
Tyalgum Public School,NSW,Government,Primary,Inner Regional,930,2.6,0.9,40,14,26,13,0
Uki Public School,NSW,Government,Primary,Inner Regional,950,10,2,154,82,72,11,11
Ulmarra Public School,NSW,Government,Primary,Inner Regional,941,4,1.5,61,28,33,7,2
Ulong Public School,NSW,Government,Primary,Outer Regional,834,1.9,0.7,15,8,7,40,0
Urbenville Public School,NSW,Government,Primary,Outer Regional,855,1.4,1,12,7,5,50,0
Urunga Public School,NSW,Government,Primary,Outer Regional,970,12.6,2.5,222,122,100,10,5
Wardell Public School,NSW,Government,Primary,Inner Regional,917,2.7,0.9,33,9,24,12,11
Wauchope Public School,NSW,Government,Primary,Inner Regional,926,44.3,10.5,691,345,346,21,3
Wiangaree Public School,NSW,Government,Primary,Inner Regional,927,1.9,0.7,25,8,17,12,0
Willawarrin Public School,NSW,Government,Primary,Outer Regional,860,2.8,0.9,31,19,12,39,6
Wilsons Creek Public School,NSW,Government,Primary,Inner Regional,960,1.5,0.7,17,10,7,24,35
Wollongbar Public School,NSW,Government,Primary,Inner Regional,1019,17.5,2.9,307,145,162,7,5
Woodburn Public School,NSW,Government,Primary,Inner Regional,937,12.9,3.8,144,62,82,17,1
Woodenbong Central School,NSW,Government,Combined,Outer Regional,911,20.1,7.9,190,93,97,30,1
Woolgoolga Public School,NSW,Government,Primary,Inner Regional,968,22.2,3.1,387,183,204,13,38
Wyrallah Public School,NSW,Government,Primary,Inner Regional,977,2.2,0.9,25,15,10,16,4
Yamba Public School,NSW,Government,Primary,Inner Regional,981,18.4,5.2,317,143,174,15,5
Pottsville Beach Public School,NSW,Government,Primary,Major Cities,1028,34.6,4.1,635,307,328,5,6
Scotts Head Public School,NSW,Government,Primary,Outer Regional,987,8.6,1.6,105,45,60,12,15
Afterlee Public School,NSW,Government,Primary,Inner Regional,953,1.3,1.2,10,6,4,0,0
Stuarts Point Public School,NSW,Government,Primary,Outer Regional,902,3.9,1.4,57,35,22,26,9
Upper Coopers Creek Public School,NSW,Government,Primary,Inner Regional,1037,1.3,1,11,1,10,0,25
Wyrallah Road Public School,NSW,Government,Primary,Inner Regional,983,29.5,4,524,287,237,11,12
Taree West Public School,NSW,Government,Primary,Inner Regional,913,31.1,4,511,263,248,22,5
Maclean Public School,NSW,Government,Primary,Inner Regional,929,10.5,3,172,79,93,22,6
Chatham Public School,NSW,Government,Primary,Inner Regional,825,17.3,2.7,263,129,134,35,5
Kingscliff Public School,NSW,Government,Primary,Major Cities,1038,32.7,4.1,618,284,334,9,9
Lismore Heights Public School,NSW,Government,Primary,Inner Regional,965,15.3,4.5,240,109,131,23,12
Murwillumbah East Public School,NSW,Government,Primary,Major Cities,956,16.3,5.5,236,117,119,11,10
Tweed Heads South Public School,NSW,Government,Primary,Major Cities,878,14.7,4.7,204,99,105,36,14
North Haven Public School,NSW,Government,Primary,Inner Regional,970,14.5,2.8,226,115,111,14,5
Albert Park Public School,NSW,Government,Primary,Inner Regional,898,8.2,3.4,97,36,61,32,5
Lennox Head Public School,NSW,Government,Primary,Inner Regional,1060,25.1,3.4,477,227,250,3,13
Kempsey South Public School,NSW,Government,Primary,Inner Regional,767,13,5.7,139,66,73,62,6
Narranga Public School,NSW,Government,Primary,Inner Regional,962,37.6,5.8,670,339,331,13,12
Westport Public School,NSW,Government,Primary,Inner Regional,874,24.8,5.1,399,197,202,27,4
Gillwinga Public School,NSW,Government,Primary,Inner Regional,785,10.6,1.8,143,59,84,57,7
Southern Cross Public School,NSW,Government,Primary,Inner Regional,1005,25.4,8,384,171,213,10,9
Tyalla Public School,NSW,Government,Primary,Inner Regional,867,21.9,5.1,314,162,152,31,12
Toormina Public School,NSW,Government,Primary,Inner Regional,925,18.1,2.7,255,111,144,17,5
Hastings Public School,NSW,Government,Primary,Inner Regional,1031,35.5,4.3,679,324,355,7,8
Tuncurry Public School,NSW,Government,Primary,Inner Regional,939,21.5,4.2,384,196,188,13,6
Orama Public School,NSW,Government,Primary,Outer Regional,953,2.6,0.9,28,15,13,25,7
Manning Gardens Public School,NSW,Government,Primary,Inner Regional,709,16.9,8.8,148,62,86,69,1
Sandy Beach Public School,NSW,Government,Primary,Inner Regional,984,22,4,346,169,177,12,4
Wingham Brush Public School,NSW,Government,Primary,Inner Regional,929,11.6,2.1,200,100,100,11,4
Teven-Tintenbar Public School,NSW,Government,Primary,Inner Regional,1029,10.7,2,199,108,91,4,11
Frank Partridge VC Public School,NSW,Government,Primary,Outer Regional,820,16.6,6.5,216,100,116,43,2
Aldavilla Public School,NSW,Government,Primary,Inner Regional,919,16.9,2.9,305,154,151,27,3
William Bayldon Public School,NSW,Government,Primary,Inner Regional,837,19.7,8.4,202,103,99,40,4
Mullaway Public School,NSW,Government,Primary,Inner Regional,992,16.1,2.5,260,128,132,12,4
Centaur Public School,NSW,Government,Primary,Major Cities,949,30.6,7.8,502,219,283,15,11
Hallidays Point Public School,NSW,Government,Primary,Inner Regional,1013,15,2.6,290,159,131,10,5
Tacking Point Public School,NSW,Government,Primary,Inner Regional,1032,37.9,4.5,732,351,381,8,9
Bogangar Public School,NSW,Government,Primary,Major Cities,1024,17.1,2.6,301,148,153,9,10
North East Public School of Distance Education,NSW,Government,Primary,Inner Regional,1016,24,7,287,127,160,6,5
Casino West Public School,NSW,Government,Primary,Inner Regional,771,19.5,6.8,224,108,116,54,6
Westlawn Public School,NSW,Government,Primary,Inner Regional,951,29,4,509,227,282,12,3
Caldera School,NSW,Government,Special,Major Cities,889,8,8,26,9,17,23,4
Wilson Park School,NSW,Government,Special,Inner Regional,918,14.6,12.5,64,26,38,28,6
Coffs Harbour Learning Centre,NSW,Government,Special,Inner Regional,824,4.9,4.4,21,4,17,33,0
Gloucester Public School,NSW,Government,Primary,Inner Regional,936,15.4,2.7,290,147,143,20,2
Wingham Public School,NSW,Government,Primary,Inner Regional,938,19.4,3,306,159,147,17,2
Dorrigo Public School,NSW,Government,Primary,Outer Regional,939,5,1.7,103,47,56,15,8
Coffs Harbour High School,NSW,Government,Secondary,Inner Regional,973,68.5,13.4,954,499,455,9,17
Grafton High School,NSW,Government,Secondary,Inner Regional,942,68.1,18.5,831,404,427,15,4
Kempsey High School,NSW,Government,Secondary,Inner Regional,852,46,11.8,461,224,237,32,4
"The Rivers Secondary College, Lismore High Campus",NSW,Government,Secondary,Inner Regional,937,40.7,9.8,425,206,219,15,7
Murwillumbah High School,NSW,Government,Secondary,Major Cities,969,49.5,13.8,430,202,228,9,7
Taree High School,NSW,Government,Secondary,Inner Regional,933,65.6,16,881,454,427,18,4
Casino High School,NSW,Government,Secondary,Inner Regional,879,61.2,18.9,620,315,305,24,2
Macksville High School,NSW,Government,Secondary,Outer Regional,954,42.3,10.3,472,228,244,11,2
Wauchope High School,NSW,Government,Secondary,Inner Regional,912,49.5,13.1,548,284,264,17,4
Kyogle High School,NSW,Government,Secondary,Inner Regional,933,34.4,9.6,313,153,160,10,4
Mullumbimby High School,NSW,Government,Secondary,Inner Regional,1020,55.7,14.5,638,323,315,5,13
Ballina Coast High School,NSW,Government,Secondary,Inner Regional,957,68.7,18.5,859,371,488,17,7
"The Rivers Secondary College, Richmond River High Campus",NSW,Government,Secondary,Inner Regional,977,55.3,12.3,700,339,361,11,7
Bellingen High School,NSW,Government,Secondary,Outer Regional,1005,45.3,9.1,574,292,282,10,6
Camden Haven High School,NSW,Government,Secondary,Inner Regional,956,145.7,23.5,1047,504,543,13,2
Banora Point High School,NSW,Government,Secondary,Major Cities,967,50.7,11.9,641,290,351,11,7
Great Lakes College Tuncurry Campus,NSW,Government,Secondary,Inner Regional,966,44.6,12.1,529,246,283,11,3
Maclean High School,NSW,Government,Secondary,Inner Regional,955,63.5,17.1,796,397,399,13,3
"Hastings Secondary College, Port Macquarie Campus",NSW,Government,Secondary,Inner Regional,964,58.8,12.9,668,331,337,14,9
Tweed River High School,NSW,Government,Secondary,Major Cities,944,52.4,11.3,693,352,341,17,9
Gloucester High School,NSW,Government,Secondary,Inner Regional,941,35.4,7,379,200,179,11,2
Wingham High School,NSW,Government,Secondary,Inner Regional,926,44.6,9.7,511,245,266,13,6
South Grafton High School,NSW,Government,Secondary,Inner Regional,898,54.6,14.1,564,247,317,24,3
Chatham High School,NSW,Government,Secondary,Inner Regional,844,56.7,16.5,569,282,287,35,2
Dorrigo High School,NSW,Government,Secondary,Outer Regional,948,16.7,5.4,137,69,68,14,10
Orara High School,NSW,Government,Secondary,Inner Regional,899,59,15.9,623,304,319,20,16
"The Rivers Secondary College, Kadina High Campus",NSW,Government,Secondary,Inner Regional,944,46.5,9.4,412,212,200,21,6
Toormina High School,NSW,Government,Secondary,Inner Regional,927,61.5,17.7,780,398,382,19,6
Great Lakes College Forster Campus,NSW,Government,Secondary,Inner Regional,951,50.8,15.5,594,303,291,12,3
Woolgoolga High School,NSW,Government,Secondary,Inner Regional,964,61.2,13.1,812,390,422,12,15
"Hastings Secondary College, Westport Campus",NSW,Government,Secondary,Inner Regional,931,57.9,15.5,605,309,296,18,6
Melville High School,NSW,Government,Secondary,Inner Regional,873,56,16.5,608,308,300,33,8
Byron Bay High School,NSW,Government,Secondary,Inner Regional,1041,56.1,11.1,774,373,401,4,15
Alstonville High School,NSW,Government,Secondary,Inner Regional,1016,56.2,11.3,718,368,350,6,9
Kingscliff High School,NSW,Government,Secondary,Major Cities,991,76.9,17.6,1041,564,477,12,9
Nambucca Heads High School,NSW,Government,Secondary,Outer Regional,910,46.4,11.8,441,229,212,27,6
Wollumbin High School,NSW,Government,Secondary,Major Cities,980,38.9,6.9,404,210,194,6,7
Timbumburi Public School,NSW,Government,Primary,Outer Regional,986,9.7,1.9,172,79,93,13,2
Armidale City Public School,NSW,Government,Primary,Inner Regional,1007,23.9,4.3,418,203,215,15,28
Drummond Memorial Public School,NSW,Government,Primary,Inner Regional,843,17.8,5.8,172,75,97,34,30
Ashford Central School,NSW,Government,Combined,Outer Regional,837,17,6.9,148,75,73,37,3
Attunga Public School,NSW,Government,Primary,Outer Regional,887,2.6,0.9,33,16,17,24,0
Bald Blair Public School,NSW,Government,Primary,Outer Regional,980,2.6,0.9,36,18,18,0,9
Barraba Central School,NSW,Government,Combined,Outer Regional,895,18,6.3,173,80,93,24,1
Bellata Public School,NSW,Government,Primary,Outer Regional,886,2.6,0.9,24,13,11,17,5
Bendemeer Public School,NSW,Government,Primary,Outer Regional,833,1.4,0.7,16,6,10,31,0
Ben Lomond Public School,NSW,Government,Primary,Outer Regional,993,1.3,1.2,14,6,8,7,7
Ben Venue Public School,NSW,Government,Primary,Inner Regional,1000,31.7,4.1,563,296,267,15,14
Bingara Central School,NSW,Government,Combined,Outer Regional,932,18,5.6,170,98,72,22,7
Black Mountain Public School,NSW,Government,Primary,Outer Regional,824,2.5,0.7,22,10,12,59,9
Blackville Public School,NSW,Government,Primary,Outer Regional,811,1.3,1,10,5,5,40,0
Boggabilla Central School,NSW,Government,Combined,Outer Regional,640,13.2,6.7,63,32,31,98,33
Boggabri Public School,NSW,Government,Primary,Outer Regional,852,6.2,1.5,83,39,44,31,1
Bonshaw Public School,NSW,Government,Primary,Outer Regional,950,1.4,1.1,13,7,6,46,0
Boomi Public School,NSW,Government,Primary,Remote,1045,3,0.9,16,10,6,6,0
Bundarra Central School,NSW,Government,Combined,Outer Regional,905,14,5.4,99,52,47,13,3
Burren Junction Public School,NSW,Government,Primary,Remote,976,3.6,1.4,39,25,14,13,5
Carroll Public School,NSW,Government,Primary,Outer Regional,842,2.5,0.9,29,14,15,48,0
Chandler Public School,NSW,Government,Primary,Outer Regional,1093,1.3,1,6,3,3,0,33
Collarenebri Central School,NSW,Government,Combined,Remote,690,12.5,5,82,40,42,83,1
Curlewis Public School,NSW,Government,Primary,Outer Regional,807,3.7,1.4,48,26,22,52,6
Currabubula Public School,NSW,Government,Primary,Outer Regional,958,3.1,0.7,23,9,14,4,0
Deepwater Public School,NSW,Government,Primary,Outer Regional,935,1.5,1,19,10,9,16,0
Delungra Public School,NSW,Government,Primary,Outer Regional,862,2.6,0.9,34,10,24,38,0
Dungowan Public School,NSW,Government,Primary,Outer Regional,993,1.9,0.9,22,10,12,5,14
Duri Public School,NSW,Government,Primary,Inner Regional,903,2.5,0.9,37,21,16,41,0
Ebor Public School,NSW,Government,Primary,Outer Regional,864,1.4,1,15,6,9,47,0
Emmaville Central School,NSW,Government,Combined,Outer Regional,883,11,4.9,90,56,34,20,2
Fairfax Public School,NSW,Government,Primary,Outer Regional,1013,1.4,1,9,6,3,0,11
Garah Public School,NSW,Government,Primary,Remote,914,1.8,0.8,17,9,8,18,0
Gilgai Public School,NSW,Government,Primary,Outer Regional,894,4,1.4,50,27,23,12,4
Glen Innes Public School,NSW,Government,Primary,Outer Regional,904,24.3,5.2,395,173,222,22,3
Gravesend Public School,NSW,Government,Primary,Outer Regional,961,2.6,0.9,29,14,15,10,0
Gum Flat Public School,NSW,Government,Primary,Outer Regional,978,3,0.9,23,10,13,0,9
Gunnedah Public School,NSW,Government,Primary,Outer Regional,750,12.5,4,156,63,93,63,1
Guyra Central School,NSW,Government,Combined,Outer Regional,893,26.7,7.9,309,155,154,21,6
Inverell Public School,NSW,Government,Primary,Outer Regional,904,34.1,7.5,510,244,266,23,3
Jennings Public School,NSW,Government,Primary,Outer Regional,908,1.4,0.8,11,5,6,0,0
Kellys Plains Public School,NSW,Government,Primary,Outer Regional,1051,1.4,0.9,14,4,10,0,7
Kentucky Public School,NSW,Government,Primary,Outer Regional,1080,2.5,0.9,45,18,27,4,2
Kingstown Public School,NSW,Government,Primary,Outer Regional,937,1.4,0.7,19,8,11,21,5
Kootingal Public School,NSW,Government,Primary,Inner Regional,929,11.5,2,185,81,104,23,3
Martins Gully Public School,NSW,Government,Primary,Inner Regional,1022,11.2,2,165,76,89,4,6
Moonbi Public School,NSW,Government,Primary,Outer Regional,876,3.9,1.5,53,27,26,36,0
Moree Public School,NSW,Government,Primary,Outer Regional,867,40,9.6,571,277,294,44,4
Mullaley Public School,NSW,Government,Primary,Outer Regional,904,2.6,0.9,45,17,28,18,4
Mungindi Central School,NSW,Government,Combined,Remote,760,14.2,6.6,72,39,33,65,68
Narrabri Public School,NSW,Government,Primary,Outer Regional,861,25.2,5.2,394,193,201,38,6
Narrabri West Public School,NSW,Government,Primary,Outer Regional,911,22.4,5.2,330,188,142,26,2
Nemingha Public School,NSW,Government,Primary,Inner Regional,1006,13.6,2.4,216,113,103,8,1
Niangala Public School,NSW,Government,Primary,Outer Regional,,1.3,1,4,3,1,50,0
North Star Public School,NSW,Government,Primary,Outer Regional,999,2.5,0.9,24,11,13,4,22
Nowendoc Public School,NSW,Government,Primary,Outer Regional,,1.3,1,2,1,1,50,0
Nundle Public School,NSW,Government,Primary,Outer Regional,923,3.9,1.4,56,24,32,18,2
Pallamallawa Public School,NSW,Government,Primary,Outer Regional,876,2.7,1,26,12,14,23,0
Pilliga Public School,NSW,Government,Primary,Remote,768,1.4,0.7,15,8,7,87,0
Red Range Public School,NSW,Government,Primary,Outer Regional,902,2.9,0.9,42,15,27,12,7
Rocky River Public School,NSW,Government,Primary,Inner Regional,970,2.7,1,35,21,14,26,6
Ross Hill Public School,NSW,Government,Primary,Outer Regional,888,38.1,8.1,604,309,295,26,3
Somerton Public School,NSW,Government,Primary,Outer Regional,956,2.7,1.1,33,13,20,9,6
Spring Ridge Public School,NSW,Government,Primary,Outer Regional,1038,2.5,0.9,29,10,19,10,3
Tambar Springs Public School,NSW,Government,Primary,Outer Regional,910,1.4,1,5,3,2,20,40
Tamworth Public School,NSW,Government,Primary,Inner Regional,1009,51.4,8.9,914,466,448,13,11
Tamworth West Public School,NSW,Government,Primary,Inner Regional,876,31.6,7.3,385,187,198,32,5
The Sir Henry Parkes Memorial Public School,NSW,Government,Primary,Outer Regional,896,13.3,4.5,215,103,112,23,3
Tingha Public School,NSW,Government,Primary,Outer Regional,723,4.2,2,42,17,25,79,2
Tintinhull Public School,NSW,Government,Primary,Inner Regional,970,4.9,1.5,81,38,43,22,1
Toomelah Public School,NSW,Government,Primary,Outer Regional,580,5.2,1.9,42,23,19,100,16
Walcha Central School,NSW,Government,Combined,Outer Regional,930,23.7,7.6,267,135,132,24,4
Walhallow Public School,NSW,Government,Primary,Outer Regional,666,2,1.7,22,13,9,100,0
Wallabadah Public School,NSW,Government,Primary,Outer Regional,878,2.6,0.9,30,12,18,43,7
Warialda Public School,NSW,Government,Primary,Outer Regional,938,13.3,2.1,207,84,123,17,1
Wee Waa Public School,NSW,Government,Primary,Outer Regional,788,9.1,2.9,134,65,69,51,0
Werris Creek Public School,NSW,Government,Primary,Inner Regional,819,7.8,2.7,109,49,60,54,3
Westdale Public School,NSW,Government,Primary,Inner Regional,869,34.7,6,501,262,239,37,6
Willow Tree Public School,NSW,Government,Primary,Outer Regional,935,3.8,1.4,59,25,34,12,3
Woolbrook Public School,NSW,Government,Primary,Outer Regional,775,1.4,1,16,9,7,50,0
Woolomin Public School,NSW,Government,Primary,Outer Regional,872,2.7,0.9,32,12,20,31,6
Yarrowitch Public School,NSW,Government,Primary,Outer Regional,902,1.3,1.1,8,4,4,38,25
Yetman Public School,NSW,Government,Primary,Outer Regional,939,1.8,0.9,13,6,7,0,0
Rowena Public School,NSW,Government,Primary,Remote,1079,3,0.7,20,7,13,0,0
Oxley Vale Public School,NSW,Government,Primary,Inner Regional,904,21,5,343,176,167,30,5
Croppa Creek Public School,NSW,Government,Primary,Outer Regional,916,1.3,1.1,15,8,7,7,0
Uralla Central School,NSW,Government,Combined,Inner Regional,902,28.3,7.8,343,176,167,26,5
Tamworth South Public School,NSW,Government,Primary,Inner Regional,853,42.7,9.8,569,259,310,40,5
Quirindi Public School,NSW,Government,Primary,Outer Regional,921,17.6,4.7,307,166,141,27,1
Gunnedah South Public School,NSW,Government,Primary,Outer Regional,888,37.6,6.3,636,305,331,33,5
Moree East Public School,NSW,Government,Primary,Outer Regional,670,12.6,4.2,148,77,71,84,2
Tulloona Public School,NSW,Government,Primary,Outer Regional,1047,1.3,1.1,7,6,1,29,0
Bullarah Public School,NSW,Government,Primary,Remote,968,1.3,1.1,8,3,5,0,0
Mallawa Public School,NSW,Government,Primary,Remote,916,1.3,1,11,7,4,18,0
Hillvue Public School,NSW,Government,Primary,Inner Regional,737,24.8,8.2,347,162,185,70,0
Newling Public School,NSW,Government,Primary,Inner Regional,763,7.4,1.8,83,46,37,65,1
Wytaliba Public School,NSW,Government,Primary,Outer Regional,838,1.3,0.7,13,7,6,31,0
