School.Name,State,School.Sector,School.Type,Geolocation,ICSEA,Full.Time.Teaching.Staff,Full.Time.Non.Teaching.Staff,Total.Enrolments,Girls.Enrolments,Boys.Enrolments,Indigenous.Enrolments.Percentage,LBOTE.Percentage
Rosebery District High School,TAS,Government,Combined,Remote,901,12.5,9.3,77,37,40,23,0
St Helens District High School,TAS,Government,Combined,Outer Regional,963,36.9,20.8,490,244,246,12,4
St Marys District School,TAS,Government,Combined,Outer Regional,931,27.5,12.7,323,160,163,13,0
Triabunna District School,TAS,Government,Combined,Outer Regional,899,17,9.3,159,79,80,19,3
Burnie High School,TAS,Government,Secondary,Outer Regional,949,37.3,17.2,567,304,263,13,2
Campbell Town District High School,TAS,Government,Combined,Outer Regional,918,21,10.9,220,114,106,14,3
Cressy District High School,TAS,Government,Combined,Outer Regional,939,23.1,11,303,152,151,7,1
Dunalley Primary School,TAS,Government,Primary,Outer Regional,946,7.1,6.1,90,45,45,10,4
Exeter High School,TAS,Government,Secondary,Outer Regional,955,21.9,14.2,284,135,149,9,4
King Island District High School,TAS,Government,Combined,Very Remote,976,18.5,13.2,198,100,98,2,2
Kingston High School,TAS,Government,Secondary,Inner Regional,991,46.6,23.4,643,295,348,9,6
Kings Meadows High School,TAS,Government,Secondary,Inner Regional,957,37.6,17.5,540,282,258,6,8
Ogilvie High School,TAS,Government,Secondary,Inner Regional,965,41.9,22.9,626,626,0,10,14
Prospect High School,TAS,Government,Secondary,Inner Regional,961,34.3,18.7,442,228,214,5,8
Riverside High School,TAS,Government,Secondary,Inner Regional,1014,49.9,17.8,754,368,386,5,5
Smithton High School,TAS,Government,Secondary,Outer Regional,874,28.2,20.6,306,162,144,33,0
Sorell School,TAS,Government,Combined,Inner Regional,919,64,34.4,855,420,435,11,1
Taroona High School,TAS,Government,Secondary,Inner Regional,1106,70.5,24.1,1110,505,605,3,17
Tasman District School,TAS,Government,Combined,Outer Regional,914,20.2,8.6,218,108,110,19,5
Winnaleah District High School,TAS,Government,Combined,Outer Regional,917,9.9,6.5,87,46,41,9,2
Woodbridge School,TAS,Government,Combined,Outer Regional,1002,27.6,13.3,331,150,181,11,4
Yolla District School,TAS,Government,Combined,Outer Regional,926,16.7,12,191,93,98,17,0
Invermay Primary School,TAS,Government,Primary,Inner Regional,929,20,16,336,151,185,15,11
Mowbray Heights Primary School,TAS,Government,Primary,Inner Regional,931,35,17.1,562,271,291,12,31
Rose Bay High School,TAS,Government,Secondary,Inner Regional,973,47.5,22.4,653,303,350,9,6
Queechy High School,TAS,Government,Secondary,Inner Regional,949,48.8,22.7,671,329,342,7,9
Devonport High School,TAS,Government,Secondary,Inner Regional,957,33.9,16.5,476,243,233,7,3
Sacred Heart Catholic School,TAS,Catholic,Primary,Inner Regional,1056,23.8,10.7,401,191,210,4,2
Albuera Street Primary School,TAS,Government,Primary,Inner Regional,1130,15.3,8.7,283,138,145,1,35
Campbell Street Primary School,TAS,Government,Primary,Inner Regional,1045,14.6,8.3,239,112,127,8,22
Goulburn Street Primary School,TAS,Government,Primary,Inner Regional,1099,14,6.6,268,116,152,2,10
Lansdowne Crescent Primary School,TAS,Government,Primary,Inner Regional,1121,23.5,10.6,434,233,201,1,10
Mount Stuart Primary School,TAS,Government,Primary,Inner Regional,1124,22.2,8.7,368,163,205,1,11
South Hobart Primary School,TAS,Government,Primary,Inner Regional,1150,23.9,10.9,449,207,242,2,11
Princes Street Primary School,TAS,Government,Primary,Inner Regional,1141,24.2,12,401,190,211,0,28
Waimea Heights Primary School,TAS,Government,Primary,Inner Regional,1129,21.8,11.4,413,173,240,0,29
Taroona Primary School,TAS,Government,Primary,Inner Regional,1119,21,8,363,167,196,2,11
Mount Nelson Primary School,TAS,Government,Primary,Inner Regional,1135,15.2,7.1,251,108,143,3,22
Lenah Valley Primary School,TAS,Government,Primary,Inner Regional,1055,30.8,12.3,552,270,282,5,12
New Town High School,TAS,Government,Secondary,Inner Regional,969,50.8,22.2,698,0,698,9,12
New Town Primary School,TAS,Government,Primary,Inner Regional,1053,22.4,8.4,367,187,180,5,30
Bowen Road Primary School,TAS,Government,Primary,Inner Regional,955,21.8,10.4,273,130,143,12,34
Goodwood Primary School,TAS,Government,Primary,Inner Regional,930,10.9,6.9,126,72,54,18,11
Moonah Primary School,TAS,Government,Primary,Inner Regional,922,18.4,13.7,286,151,135,16,21
Springfield Gardens Primary School,TAS,Government,Primary,Inner Regional,894,21.2,15.6,279,118,161,19,19
Rosetta Primary School,TAS,Government,Primary,Inner Regional,980,27.1,14.2,443,244,199,8,6
Collinsvale Primary School,TAS,Government,Primary,Inner Regional,983,4.8,1.9,53,19,34,8,4
Lindisfarne North Primary School,TAS,Government,Primary,Inner Regional,1004,20.3,13.6,335,171,164,5,8
Lindisfarne Primary School,TAS,Government,Primary,Inner Regional,1039,20.1,9.6,361,179,182,7,6
Risdon Vale Primary School,TAS,Government,Primary,Inner Regional,897,12.8,10.5,172,86,86,12,0
Bellerive Primary School,TAS,Government,Primary,Inner Regional,1052,26.3,12.5,482,236,246,4,9
Clarence High School,TAS,Government,Secondary,Inner Regional,998,41.7,23.8,567,264,303,7,5
Howrah Primary School,TAS,Government,Primary,Inner Regional,1047,36.9,16.8,662,327,335,4,7
Montagu Bay Primary School,TAS,Government,Primary,Inner Regional,1060,21.1,11.1,354,171,183,4,1
Warrane Primary School,TAS,Government,Primary,Inner Regional,911,14.1,14.9,174,81,93,13,10
Clarendon Vale Primary School,TAS,Government,Primary,Inner Regional,810,10.5,10.1,103,48,55,23,0
Rokeby Primary School,TAS,Government,Primary,Inner Regional,868,19.4,14.3,243,108,135,19,4
Lauderdale Primary School,TAS,Government,Primary,Inner Regional,1019,41.4,16.8,707,334,373,7,1
South Arm Primary School,TAS,Government,Primary,Outer Regional,1026,6.3,3,72,37,35,8,0
Richmond Primary School,TAS,Government,Primary,Inner Regional,1013,13.4,5.9,248,137,111,7,2
Campania District School,TAS,Government,Combined,Outer Regional,871,17.4,13.8,189,85,104,23,1
Glen Huon Primary School,TAS,Government,Primary,Outer Regional,1011,9.3,5.3,120,70,50,7,3
Huonville Primary School,TAS,Government,Primary,Outer Regional,919,29.6,16.8,399,186,213,19,3
Cygnet Primary School,TAS,Government,Primary,Outer Regional,970,13.6,10,214,111,103,22,2
Franklin Primary School,TAS,Government,Primary,Outer Regional,986,8,5.8,129,59,70,12,6
Kingston Primary School,TAS,Government,Primary,Inner Regional,1006,25,13.7,364,167,197,7,15
Blackmans Bay Primary School,TAS,Government,Primary,Inner Regional,1029,18.2,9.8,292,147,145,8,11
Margate Primary School,TAS,Government,Primary,Inner Regional,1011,26.5,14.2,478,249,229,8,3
Snug Primary School,TAS,Government,Primary,Inner Regional,992,21.2,10.8,358,164,194,11,5
Bruny Island District School,TAS,Government,Primary,Outer Regional,1034,4,4.2,41,24,17,10,5
Cambridge Primary School,TAS,Government,Primary,Inner Regional,1034,21.2,12.4,390,173,217,2,2
Evandale Primary School,TAS,Government,Primary,Inner Regional,987,11.8,7.5,179,92,87,8,1
Avoca Primary School,TAS,Government,Primary,Outer Regional,772,2,2.4,11,6,5,18,0
Bicheno Primary School,TAS,Government,Primary,Remote,937,6.7,6,87,48,39,10,12
East Launceston Primary School,TAS,Government,Primary,Inner Regional,1046,33.7,12.8,559,291,268,3,20
Glen Dhu Primary School,TAS,Government,Primary,Inner Regional,977,23.2,11,368,159,209,10,18
Norwood Primary School,TAS,Government,Primary,Inner Regional,1001,30.1,13.6,507,233,274,6,4
Punchbowl Primary School,TAS,Government,Primary,Inner Regional,1022,20.4,9.8,351,173,178,6,3
Riverside Primary School,TAS,Government,Primary,Inner Regional,1014,44.8,15.8,771,345,426,6,4
St Leonards Primary School,TAS,Government,Primary,Inner Regional,948,15.1,8.7,256,120,136,9,3
Summerdale Primary School,TAS,Government,Primary,Inner Regional,957,33.1,19.4,528,265,263,9,4
Trevallyn Primary School,TAS,Government,Primary,Inner Regional,1066,25,8.6,467,221,246,3,5
Waverley Primary School,TAS,Government,Primary,Inner Regional,910,13.3,7.9,153,75,78,10,0
West Launceston Primary School,TAS,Government,Primary,Inner Regional,1041,22.9,10.8,401,196,205,1,7
Youngtown Primary School,TAS,Government,Primary,Inner Regional,968,18.2,10.3,332,176,156,7,4
Port Dalrymple School,TAS,Government,Combined,Outer Regional,892,41.8,23.5,504,234,270,14,1
South George Town Primary School,TAS,Government,Primary,Outer Regional,919,16.1,10.7,211,114,97,15,1
Bridport Primary School,TAS,Government,Primary,Outer Regional,978,11.6,8.5,192,87,105,5,1
Ringarooma Primary School,TAS,Government,Primary,Outer Regional,950,7,4.9,101,47,54,5,3
Scottsdale Primary School,TAS,Government,Primary,Outer Regional,938,19.9,12.9,298,155,143,6,1
Hagley Farm Primary School,TAS,Government,Primary,Outer Regional,992,24.8,16.3,358,158,200,6,0
Orford Primary School,TAS,Government,Primary,Outer Regional,976,6.2,4.5,80,36,44,8,1
Swansea Primary School,TAS,Government,Primary,Remote,969,4.8,3.8,53,30,23,17,0
Bracknell Primary School,TAS,Government,Primary,Outer Regional,948,4.8,3,67,26,41,3,0
Perth Primary School,TAS,Government,Primary,Inner Regional,983,15.9,9.4,251,128,123,6,2
Longford Primary School,TAS,Government,Primary,Inner Regional,945,16.6,7.8,249,105,144,7,2
Westbury Primary School,TAS,Government,Primary,Outer Regional,970,9,5.6,128,63,65,5,2
Deloraine Primary School,TAS,Government,Primary,Outer Regional,956,21.4,12.4,358,186,172,12,2
Mole Creek Primary School,TAS,Government,Primary,Outer Regional,944,4.3,4.1,54,28,26,17,6
Latrobe Primary School,TAS,Government,Primary,Inner Regional,937,23.8,14,360,184,176,14,1
Sheffield School,TAS,Government,Combined,Outer Regional,930,35.9,21.7,475,229,246,14,2
Latrobe High School,TAS,Government,Secondary,Inner Regional,943,34.2,19.9,484,240,244,11,2
Sassafras Primary School,TAS,Government,Primary,Outer Regional,909,5.7,3.5,53,19,34,23,0
Devonport Primary School,TAS,Government,Primary,Inner Regional,909,19.3,13.9,298,152,146,18,10
East Devonport Primary School,TAS,Government,Primary,Inner Regional,872,16.6,14.4,232,115,117,28,1
Forth Primary School,TAS,Government,Primary,Outer Regional,1044,10.9,5.6,194,101,93,9,0
Hillcrest Primary School,TAS,Government,Primary,Inner Regional,910,16.1,12.1,230,115,115,17,2
Miandetta Primary School,TAS,Government,Primary,Inner Regional,968,19.8,10.5,346,167,179,10,1
Nixon Street Primary School,TAS,Government,Primary,Inner Regional,937,28.6,15.2,489,238,251,16,2
Spreyton Primary School,TAS,Government,Primary,Inner Regional,968,27.1,12.5,445,213,232,10,2
Wilmot Primary School,TAS,Government,Primary,Outer Regional,922,2.8,3,17,6,11,12,0
East Ulverstone Primary School,TAS,Government,Primary,Outer Regional,944,16.2,10.2,270,136,134,10,2
Sprent Primary School,TAS,Government,Primary,Outer Regional,937,3.8,3.5,22,16,6,18,0
Ulverstone Primary School,TAS,Government,Primary,Outer Regional,950,25.2,13.4,444,202,242,16,1
West Ulverstone Primary School,TAS,Government,Primary,Outer Regional,874,13.1,9,177,81,96,20,2
Riana Primary School,TAS,Government,Primary,Outer Regional,955,8.2,5.3,115,51,64,12,1
Burnie Primary School,TAS,Government,Primary,Outer Regional,992,20.9,9.1,372,216,156,10,7
Cooee Primary School,TAS,Government,Primary,Outer Regional,980,9.8,6.5,176,91,85,12,3
Montello Primary School,TAS,Government,Primary,Outer Regional,899,24.6,13.3,361,183,178,16,1
Boat Harbour Primary School,TAS,Government,Primary,Outer Regional,963,15.9,9.3,279,146,133,15,2
Havenview Primary School,TAS,Government,Primary,Outer Regional,907,8.8,5.4,128,60,68,25,3
Natone Primary School,TAS,Government,Primary,Outer Regional,915,3.4,2.9,30,15,15,3,0
Ridgley Primary School,TAS,Government,Primary,Outer Regional,924,9,5.5,116,63,53,11,0
Table Cape Primary School,TAS,Government,Primary,Outer Regional,941,24.8,10.9,356,153,203,16,0
Edith Creek Primary School,TAS,Government,Primary,Outer Regional,875,7,5.2,67,33,34,31,1
Forest Primary School,TAS,Government,Primary,Outer Regional,922,10,7,167,74,93,22,1
Redpa Primary School,TAS,Government,Primary,Remote,1002,4.4,2.7,42,25,17,5,0
Smithton Primary School,TAS,Government,Primary,Outer Regional,862,14.1,11.4,207,104,103,36,1
Stanley Primary School,TAS,Government,Primary,Outer Regional,941,4.4,3.9,60,33,27,13,0
Brighton Primary School,TAS,Government,Primary,Inner Regional,923,34.2,15.7,619,288,331,15,1
Bagdad Primary School,TAS,Government,Primary,Inner Regional,925,9.7,7.1,149,75,74,13,0
Kempton Primary School,TAS,Government,Primary,Outer Regional,899,3.6,3.8,33,17,16,27,3
Fairview Primary School,TAS,Government,Primary,Inner Regional,882,28.5,18.4,370,193,177,14,1
New Norfolk Primary School,TAS,Government,Primary,Inner Regional,922,15.3,11.2,215,101,114,14,1
Molesworth Primary School,TAS,Government,Primary,Inner Regional,976,10.6,6.1,165,85,80,8,0
Westerway Primary School,TAS,Government,Primary,Outer Regional,919,6.6,4.6,58,27,31,19,3
Strahan Primary School,TAS,Government,Primary,Remote,916,6,4.2,64,29,35,11,3
Zeehan Primary School,TAS,Government,Primary,Remote,920,5.2,4.7,62,28,34,16,0
Tarremah Steiner School,TAS,Independent,Combined,Inner Regional,1117,20.2,9.6,211,102,109,2,13
Australian Christian College,TAS,Independent,Combined,Outer Regional,978,12.9,5.7,106,48,58,10,29
MacKillop Catholic College,TAS,Catholic,Secondary,Inner Regional,1025,42.9,21.4,566,249,317,5,3
